ID,Category,DataType,Source,Provider,Cost,Access,URL,Coverage,Terms,RecordRelease,TrustTier,Priority,Status,Connector,Notes
C11,Vital,Voter registration (living persons!),Colorado Voter Registration,Ancestry (from CO SoS),Paid,Web,https://www.ancestry.com/,CO 2010-2023,Public record; LIVING-PERSON PRIVACY,living-person data; never public in-app,T2,P3,flag,,Cited on living root person. Decide living-person policy before ingesting any such source. Living-person data: never fetched from any holder; the steps stay blocked by policy.
D01,Census,US Federal Census images 1790-1950,NARA / 1950 census site,National Archives,Free,Web + bulk images; 1950 site has AI-OCR names,https://1950census.archives.gov/,US 1790-1950,Public domain,"72y after census date (44 USC 2108(b), PL 95-416)",T1,P0,todo,,"All 1790-1950 censuses cited in seed tree. Free images: FamilySearch (all yrs), NARA 1950."
D05,Census,1950 census name search + page images,1950 Census site name search,National Archives,Free,JSON search over the site's own transcription; IIIF page images,https://1950census.archives.gov/,US 1950,Public domain,released 1 April 2022,T1,P0,verified,nara_1950,"The site's /api/search (name, state, county) returns schedules with the rows that matched; /api/search?scheduleId= gives one schedule's rows; images by IIIF. No stated rate limit; the connector keeps to one request a second."
D02,Census,Full-count census microdata (harmonized),IPUMS USA Full Count,U. Minnesota,Free (restricted for names),API + extract system,https://usa.ipums.org/usa/full_count.shtml,US 1850-1950,Research use; names/geo need restricted-access application,72y; names need restricted access,T2,P1,verified,,API exists (ipumsr). Names require restricted approval - apply if we want bulk record-linkage training data.
D03,Census,"Record collections: censuses, vital records, church books, military and probate (searchable indexes and browsable images)",FamilySearch record collections,FamilySearch,Free,Web; API if approved,https://www.familysearch.org/search/,US 1790-1950 + intl,FS ToS,72y after census date,T2,P0,todo,,Depends on B01 approval for programmatic access.
D04,Census,1890 Veterans Schedule; non-population schedules,NARA via FamilySearch/Ancestry,NARA,Free/Paid,Web,https://www.familysearch.org/search/collection/1877095,US 1850-1890,Public domain,72y after census date,T1,P2,todo,,Cited in seed tree.
E01,Burial,"Memorials, headstone photos, family links",Find a Grave,Ancestry,Free (web),NONE - no API; scraping against ToS,https://www.findagrave.com/,"Global, strongest US",ToS prohibits automated access,,T4,P0,blocked,,"Cited 55x (BURI) in seed tree. Store memorial ID + URL as citation; fetch on-demand by user only, no bulk.; Anyone can edit a memorial: T4, never a source the rule trusts on its own."
E02,Burial,GPS-tagged headstone images,BillionGraves,BillionGraves,Freemium,Web; partner API historically,https://billiongraves.com/,Global,ToS,,T4,P2,todo,,"Confirm whether partner API still offered.; Anyone can edit a memorial: T4, never a source the rule trusts on its own."
E03,Burial,Veterans burials,VA Nationwide Gravesite Locator,US Dept of Veterans Affairs,Free,"Web form that posts (lastName, firstName, middleName each with an exact / begins with / contains option, birth and death month and year, a cemetery or all); answers a declared tool with the results page",https://gravelocator.cem.va.gov/,US veterans,Public,,T2,P1,verified,va_graves,"Connector va_graves posts the locator's own search by surname and first given name, exact, with the death year when the step has one, for the cemetery row and for the citations to the veterans' gravesites and BIRLS collections; the results page is the record: name, rank and branch, war period, dates of birth and death, cemetery and address, section and site. No robots.txt; no stated rate limit. Seed cites 'U.S. Veterans Gravesites' and PA Veterans Burial Cards."
E04,Burial,Cemetery transcriptions,Interment.net / USGenWeb Archives,Volunteer,Free,Web,https://www.interment.net/,US,Volunteer; varied,,T3,P3,todo,,
E05,Burial,Photographs of gravestones on memorial pages,Gravestone photographs (Find a Grave),Find a Grave contributors,Free,"A memorial's photographs typed Grave by the page, each saved in the owner's browser one at a time (tools/save_image.js); no API, no bulk",https://www.findagrave.com/,Global,Find a Grave terms; the contributor's own photograph,,T1,P0,in-use,,"An image of the stone itself: the names and dates as cut. The page that carries it is one anyone can edit (E01, T4); the photograph is an original, read by the transcription path (the screen's form or the model) into a card. One fetch step per photograph the page types Grave, under the cemetery row of the person accepted as the memorial's subject."
F01,Military,WWII Army enlistment records,NARA AAD (Access to Archival Databases),National Archives,Free,Web search form; the site answers a browser only and the page is saved there,https://aad.archives.gov/aad/,US 1938-1946 (men b. about 1895-1927),Public domain,,T2,P1,verified,,"Electronic Army Serial Number Merged File (dt=893). The fielded search takes the name as SURNAME GIVEN and the year of birth as two digits; a partial-records page lists serial, name, residence state and county, place and year of enlistment, birth year; the full record adds the enlistment date, nativity, education, marital status, occupation. The step carries the search prefilled; the saved pages come in through inbox/."
F02,Military,"Draft cards WWI/WWII/Korea, pensions, service files",Fold3,Ancestry,Paid,Web,https://www.fold3.com/,US,ToS,,T1,P1,todo,,Images of cited draft cards; free alt: FamilySearch has WWI/WWII draft cards. Korean War era draft cards (dbid 62234) and Civil War draft registrations (dbid 1666) have no free holder; those steps stay blocked.
F03,Military,Civil War soldiers/sailors index,NPS Soldiers and Sailors Database,National Park Service,Free,Web,https://www.nps.gov/civilwar/soldiers-and-sailors-database.htm,US 1861-1865,Public domain,,T2,P2,todo,,Seed cites Civil War pension index + draft registrations.
F04,Military,Revolutionary War lineage applications,DAR GRS / SAR Patriot Research System,DAR / SAR,Free,Web,https://sarpatriots.sar.org/,US 1775-1783 lineages,ToS,,T3,P2,todo,,SAR application cited (Rittenhouse/Cassel lines likely). Lineage apps are secondary - verify against primaries. The SAR's Patriot Research System is free and searched by name on its page; the membership applications cited (Ancestry dbid 2204) are Ancestry's alone. robots.txt disallows /patriot/search to every agent and the form posts: the search is run in the owner's browser only.
F05,Military,Veterans death file,VA BIRLS Death File,VA via Ancestry,Paid,Web,https://www.ancestry.com/search/collections/2441/,US 1850-2020,Public record,,T2,P3,todo,,Cited.
G01,Immigration,Passenger arrivals NY 1820-1957,Statue of Liberty-Ellis Island Foundation,SOLEIF,Free (search) / Paid (images),Web,https://heritage.statueofliberty.org/,Port of NY 1820-1957,ToS,,T1/T2,P1,todo,,Seed has 4 'Arrival' events. Irish (Cork) & German arrivals likely NY.
G02,Immigration,Naturalization petitions,NARA naturalization records,National Archives / FamilySearch,Free,Web,https://www.archives.gov/research/naturalization,US,Public domain,,T1,P1,todo,,Seed cites WA and MA naturalization.
G03,Immigration,Emigration lists (Germany),Hamburg Passenger Lists 1850-1934,Staatsarchiv Hamburg via Ancestry,Paid,Web,https://www.ancestry.com/search/collections/1068/,German ports 1850-1934,ToS,,T1,P2,todo,,For 19th-c Sachsen/NRW emigrants.
G04,Immigration,1734 Schwenkfelder migration lists,Schwenkfelder ship lists / Genealogical Record,Schwenkfelder Library / Exile Society,Free (catalog) / Book,Web catalog (PastPerfect) + printed,https://schwenkfelder.pastperfectonline.com/,Silesia->PA 1731-1737,Library ToS,,T1/T3,P0,verified,,"Seed HEAD note: 'Schwenkfelder immigrants from Silesia' - Heebner, Wiegner, Cassel lines. Records NOT in national DBs."
G05,Immigration,Passenger & Immigration Lists Index (Filby),PILI,Gale via Ancestry,Paid,Web,https://www.ancestry.com/search/collections/7486/,US/Canada 1500s-1900s,ToS,,T3,P3,todo,,Cited. Index to published lists only.
H01,Newspaper,Digitized historic newspapers + OCR text,Chronicling America via loc.gov API,Library of Congress,Free,REST JSON/YAML + bulk OCR,https://www.loc.gov/apis/,US 1756-1963,Public domain,,T1,P0,verified,loc_gov,Legacy API retired 2025; use loc.gov API exclusively. OCR text = LLM extraction target for obits/marriages.
H02,Newspaper,NY newspapers,Fulton History (Old Fulton NY Post Cards),Tom Tryniski,Free,Web (search only),https://fultonhistory.com/,NY + some PA/NJ,Personal site,,T1,P2,todo,,Nassau Co. coverage.
H03,Newspaper,PA newspapers,Pennsylvania Newspaper Archive / Power Library,Penn State / PA,Free,Web (Open ONI: JSON page search at /search/pages/results/?searchType=advanced&proxtext=<words>&proxdistance=5&date1=YYYY-MM-DD&date2=YYYY-MM-DD&dateFilterType=range&format=json&rows=<n>; a page's OCR text at <page id>ocr.txt; titles at /newspapers/),https://panewsarchive.psu.edu/,"PA 1789-2013, few titles after the 1920s",Public,,T1,P1,verified,,"Answers a declared tool; no stated rate limit; the result items carry the page id, title, date, city and county and the page's OCR text. Abram Brant 1961: nothing (the Pottstown Mercury is not here). No connector yet: no reviewed person's obituary step is in Pennsylvania."
H04,Newspaper,Obituaries index + images,Newspapers.com,Ancestry,Paid,Web (no API),https://www.newspapers.com/,US/global,ToS,,T1,P1,todo,,Cited obituary index. Clipping URLs are shareable/citable.
H05,Newspaper,Modern obituaries,Legacy.com,Legacy.com,Free,Web (no API),https://www.legacy.com/,US 1999+,ToS,,T3,P2,todo,,Living-person names in obits: privacy filter needed.
H06,Newspaper,Newspapers + obits,GenealogyBank,NewsBank,Paid,Web,https://www.genealogybank.com/,US,ToS,,T1,P3,todo,,
H07,Newspaper,Digitized newspapers + OCR text (Internet Archive),Internet Archive newspapers,Internet Archive,Free,Full-text search + search inside + page images,https://archive.org/details/newspaperarchive,US local papers (the Pottstown Mercury among them),Public domain,,T1,P1,verified,ia_newspapers,"The Archive's full-text search within collection newspaperarchive; an obituary step keeps the death year and the next. Each issue read costs a metadata, a search-inside and a page-image request."
H08,Newspaper,Digitized historic newspapers (scanned page images),Google News Archive,Google,Free,"Web (no API; a title's issues browsed at news.google.com/newspapers, a specific date found by Google Books' own site search restricted to books.google.com and a date, tbm=bks with tbs=cdr:1,cd_min:,cd_max:; the issue read and searched by page in the books.google.com/books viewer, an unauthenticated books/content endpoint serving each page as one low-resolution image, ~575x462px for a two-page spread)",https://news.google.com/newspapers,"varies by title, gaps common; Boca Raton News 1776-2007 per its own index but with pages missing from individual issues",ToS,,T1,P1,verified,,"Verified on the Boca Raton News, 27 Jan 1986: the issue is indexed and the cited page (5A, the Deaths column) is there once found through the book's own full-text search for the surname, not through the viewer's plain next/previous paging, which silently skips it. The page image is low-resolution but legible when cropped and enlarged; no higher-resolution tile exists at this endpoint. A handful of requests in quick succession (testing zoom/img parameters) drew a Google reCAPTCHA ('unusual traffic from your computer network'); the rule in force never bypasses a CAPTCHA, so this stays a browser-paced, human-run search, never a scripted connector."
I01,Church,"Schwenkfelder church, fraktur, family Bibles, deeds",Schwenkfelder Library & Heritage Center,SLHC Pennsburg PA,Free catalog,PastPerfect online catalog; in-person,https://www.schwenkfelder.org/genealogy-resources,Montgomery/Berks/Bucks PA 1734+,Library ToS,,T1,P0,verified,,Core to this tree. Catalog online; most images not - candidate for digitization partnership / HTR.
I02,Church,Mennonite vital records Lancaster,Lancaster Mennonite Historical Society / GAMEO,LMHS / MennoMedia,Free (GAMEO) / Member,Web,https://gameo.org/,Lancaster PA 1750+,CC BY-NC-ND (GAMEO),,T1/T3,P1,todo,,Seed cites Lancaster Mennonite Vital Records 1750-2014 (Cassel/Brant?). The Lancaster Mennonite vital records Ancestry holds (dbid 60592) have no free holder; those steps stay blocked.
I03,Church,Presbyterian church records,Presbyterian Historical Society,PHS Philadelphia,Free/Paid images,Web,https://www.history.pcusa.org/,US 1701-1970,ToS,,T1,P2,todo,,Cited. The Presbyterian church records Ancestry holds (dbid 61048) have no free holder; those steps stay blocked.
I04,Church,German Protestant parish registers,Archion,Evangelical Church in Germany,Paid,Web (no API),https://www.archion.de/,Germany (Sachsen coverage partial),ToS,,T1,P1,todo,,Berthelsdorf/Freiberg Sachsen cluster (Schwenkfelders sheltered at Berthelsdorf/Herrnhut 1726-1734!).
I05,Church,Catholic parish registers Europe,Matricula Online,ICARUS,Free,Web + IIIF,https://data.matricula-online.eu/,DE/AT/PL/etc,CC,,T1,P2,todo,,IIIF = programmatic image access. Cologne (Mulheim) records possibly.
I06,Church,Moravian archives (Herrnhut),Unitaetsarchiv Herrnhut / Moravian Archives Bethlehem,Moravian Church,Free/Paid,Web + in-person,https://www.moravianchurcharchives.org/,"Sachsen 1722+, PA 1741+",ToS,,T1,P2,todo,,Schwenkfelders lived on Zinzendorf's Berthelsdorf estate before emigrating.
I07,Church,Dutch civil + church records,Open Archives (openarch) API / WieWasWie,Open Archieven / CBG,Free (openarch API) / Freemium,"REST JSON, no key: /1.0/records/search.json?name=&eventplace=&number_show= (records with personname, eventtype, eventdate, eventplace, sourcetype, archive, identifier); /1.0/records/show.json?archive=&identifier= (one A2A record: persons with roles, the event, the source)",https://api.openarch.nl/,"Netherlands (Gelderland, Friesland, Zuid-Holland)",CC0/varies by archive,,T1/T2,P1,verified,,"Apeldoorn, Leiden, Leeuwarden places in seed. Answers a declared tool: 70 records for Sijtske Lieuwes (Friesland, 1721-1782), none for Gerrit Hendricks at Apeldoorn. No connector yet: no Netherlands-born person is reviewed."
I08,Church,Irish civil & church records,irishgenealogy.ie / NLI parish registers,Irish Govt / National Library of Ireland,Free,Web (images),https://www.irishgenealogy.ie/,"Ireland civil 1864+, parish to 1880",Public,,T1,P1,todo,,"Ahearn/Walsh/Scannell; 'Kalagh, Cork', 'Ballyquirk' need place resolution."
I09,Church,Silesian (now Polish) parish & civil records,szukajwarchiwach.gov.pl / Geneteka,Polish State Archives / PTG,Free,Web; some bulk scans,https://www.szukajwarchiwach.gov.pl/,Lower Silesia (Harpersdorf/Langneundorf = Twardocice/Dlugie?),Public,,T1,P2,todo,,"Seed places 'Harperdorf, Silesia' & 'Langneundorf, Silesa' need German->Polish name mapping (see N05)."
J01,Land,Federal land patents,BLM General Land Office Records,Bureau of Land Management,Free,Web + bulk,https://glorecords.blm.gov/,US public-land states (KY/TN no; OH/FL yes),Public domain,,T1,P2,todo,,
J02,Land,PA land warrants/surveys 1682-1900,PA State Archives Land Records,PHMC,Free,Web,https://www.pa.gov/agencies/phmc/pa-state-archives/research-online/land-records,PA,Public,,T1,P1,todo,,Colonial-era Montgomery/Chester lines.
J03,Probate,Wills & probate images,FamilySearch / Ancestry probate collections,FS / Ancestry,Free / Paid,Web,https://www.familysearch.org/search/,"PA 1683-1993, MA 1635-1991",ToS,,T1,P1,todo,,Cited (3 PROB events). Wills = best relationship evidence pre-1850.
J04,Tax,"Tax lists (TN early, IRS 1862-1918)",State archives / NARA via Ancestry,Various,Paid,Web,https://www.ancestry.com/,TN 1783-1895; US 1862-1918,ToS,,T2,P3,todo,,Cited.
K01,Residence,City directories (OCR'd),Internet Archive city directories,Internet Archive,Free,Full-text search + search inside + page images,https://archive.org/details/americana,US 1780s-1990s,Public domain,,T1,P1,verified,ia_directories,"The Archive's full-text search (be-api.us.archive.org/fts/v1/search) over items with directory in the title; the item's metadata names its server, the search inside gives the page, the reader gives the page image. Norristown 1860, Northampton 1883, Boyd's 1875/1879 for this family's towns."
L01,Books,Family & local histories (full text),HathiTrust Digital Library,HathiTrust,Free,Full-text search in the browser only (a browser challenge answers a tool),https://www.hathitrust.org/,"Global, pre-1930 full view",PD for full-view items,,T3,P1,todo,,Rittenhouse / Cassel / Heebner genealogies published 1890-1930 are PD.
L02,Books,Family & local histories,Internet Archive books,Internet Archive,Free,"Full-text search + search inside + page images (JSON, no key); advanced search by title (advancedsearch.php, JSON) for a cited book",https://archive.org/details/texts,Global,PD/ToS,,T3,P1,verified,ia_books,"The Archive's full-text search over every OCR'd text that is not a newspaper or a directory; a hit is a hint, never proof. Seed cites 'U.S. Family History Books', 'North America Family Histories', Appletons'."
L03,Books,Digitized genealogy books,FamilySearch Digital Library,FamilySearch,Free,Web (a challenge script answers a tool),https://www.familysearch.org/library/books/,Global,FS ToS,,T3,P2,todo,,The book search by title answers a declared tool with a challenge script; the results are read in the browser.
L04,Books,Surname files: county-based clippings and notes,Alabama Department of Archives and History digital collections,ADAH,Free,Web (CONTENTdm; JSON search at /digital/api/search/collection/<alias>/searchterm/<term>/field/<all|title>/mode/all/conn/and/maxRecords/<n>; an item at /digital/api/collections/<alias>/items/<id>/false with its fields and IIIF image; the collection list at /digital/bl/dmwebservices/index.php?q=dmGetCollectionList/json),https://digital.archives.alabama.gov/digital/collection/p17217coll3,Alabama 1702-1981,Public,,T3,P2,verified,,"The surname files Ancestry indexes as 'Alabama, Surname Files Expanded' (dbid 61266) are not among the 68 digital collections the site's API lists (searched by name for surname, family, genealogy, file); p17217coll3 is the Alabama World War I Service Records, index cards of servicemen, another record set. No free holder of the surname files is known, so their fetch steps are blocked."
M01,Media,Tree-attached photos/docs (49 in seed),Ancestry media (mediasvc),Ancestry,Paid,MANUAL download only,https://www.ancestry.com/,n/a,ToS; _ENCR encrypted refs,,n/a,P0,blocked,,"GEDCOM has 49 OBJE (13 document, 10 portrait, 9 headstone) but NO FILE paths - images not exported. Need user to download manually or use Ancestry's 'download all media' option."
M02,Media,"Historical photos, maps, docs",Digital Public Library of America API,DPLA,Free,REST JSON,https://api.dp.la/,US,CC0 metadata,,T3,P2,todo,,
M03,Media,European cultural heritage,Europeana API,Europeana,Free,REST JSON,https://api.europeana.eu/,Europe,CC,,T3,P3,todo,,
M04,Media,"Sanborn fire insurance maps, prints & photos",LOC Prints & Photographs / Sanborn,Library of Congress,Free,loc.gov API,https://www.loc.gov/collections/sanborn-maps/,US 1867-1970,Public domain,,T1,P2,todo,,Contextual: show ancestor's street at the time.
N01,Place,Modern gazetteer + hierarchy,GeoNames,GeoNames,Free (rate-limited) / Paid,REST + bulk dump,https://www.geonames.org/export/,Global,CC BY 4.0,,ref,P0,todo,,Seed has 506 PLAC strings w/ 3+ spellings of 'USA'. Normalize to IDs. Needs a free account/username; Nominatim covers current needs.
N02,Place,"Historical entities, coordinates, name variants",Wikidata SPARQL,Wikimedia,Free,SPARQL + REST,https://query.wikidata.org/,Global,CC0,,ref,P0,todo,,Also for notable persons / link-outs.
N03,Place,US county boundary changes over time,Atlas of Historical County Boundaries,Newberry Library,Free,Shapefiles/GeoJSON download,https://digital.newberry.org/ahcb/,US 1629-2000,CC BY-NC,,ref,P1,todo,,Essential: Montgomery Co. PA formed 1784 from Philadelphia Co.; validates 'place at date'.
N04,Place,German Empire gazetteer 1912,Meyers Gazetteer (meyersgaz.org),Volunteer,Free,Web,https://www.meyersgaz.org/,German Empire 1912,Personal site,,ref,P1,todo,,Resolve Sachsen/Silesia/NRW places + parish jurisdiction.
N05,Place,Historical German place DB w/ Polish equivalents,GOV (Genealogisches Ortsverzeichnis),Verein fuer Computergenealogie,Free,Web + API (SOAP/REST),https://gov.genealogy.net/,Central Europe,CC BY-SA,,ref,P1,todo,,"Harpersdorf -> Twardocice, Langneundorf -> Dlugie. Kartenmeister.com also for east of Oder. Needed to resolve the Silesian strings (Harpersdorf, Langneundorf, Schlesien)."
N06,Place,Geocoding / reverse geocoding,OpenStreetMap Nominatim,OSM,Free (usage policy),REST,https://nominatim.org/,Global,ODbL,,ref,P1,in-use,,"Used by tools/resolve_places.py (public endpoint, 1 req/s, cached in derivatives/geocode). Self-host before any multi-user load. Wikidata ids captured from extratags when present."
N07,Place,Historical maps georeferenced,David Rumsey Map Collection,Stanford,Free,Web + IIIF,https://www.davidrumsey.com/,Global,CC BY-NC-SA,,ref,P3,todo,,Map context for UI.
O01,Name,Given-name etymology & variants,Behind the Name,Mike Campbell,Free (web) / Paid API,REST,https://www.behindthename.com/api/,Global,ToS,,ref,P2,todo,,Helps AI treat 'Fredrick/Frederick/Friedrich' as one.
O02,Name,Surname distribution & origin,Forebears,Forebears,Free (web),Web,https://forebears.io/surnames,Global,ToS,,ref,P3,todo,,
O03,Name,Phonetic matching algorithms,Soundex / NYSIIS / Daitch-Mokotoff / Beider-Morse,"Open source (jellyfish, abydos)",Free,Library,https://github.com/jamesturk/jellyfish,n/a,BSD/MIT,,n/a,P0,todo,,"Rittenhouse/Rittenhausen, Ahearn/Ahern/Hearn."
O04,Name,One-name studies,Guild of One-Name Studies,GOONS,Member,Web,https://one-name.org/,Global,ToS,,T3,P3,todo,,
P01,DNA,Autosomal raw data + matches,AncestryDNA,Ancestry,Paid test,Manual raw download only; no API,https://www.ancestry.com/dna/,n/a,ToS; genetic privacy laws,,T1 (raw) / T3 (matches),P2,todo,,Unofficial wrappers exist (ancestryDnaWrapper) - ToS risk; do not ship.
P02,DNA,Autosomal raw data,23andMe,23andMe (TTAM Research Institute since 2025),Paid,Manual raw download,https://www.23andme.com/,n/a,ToS; post-bankruptcy data-handling scrutiny,,T1,P3,todo,,API discontinued 2018.
P03,DNA,Y-DNA / mtDNA / autosomal,FamilyTreeDNA,Gene by Gene (myDNA),Paid,Manual download; GAP project admin exports,https://www.familytreedna.com/,n/a,ToS,,T1,P2,todo,,Ahearn/Cassel surname projects likely exist.
P04,DNA,Cross-vendor matching & tools,GEDmatch,Verogen/Qiagen,Freemium,Manual upload; no public API,https://www.gedmatch.com/,n/a,Privacy policy Oct 2025; law-enforcement opt-in,,T3,P3,todo,,Sensitive: LE matching. Never auto-upload user data.
P05,DNA,Shared-cM relationship probabilities,Shared cM Project / DNA Painter,Blaine Bettinger / DNA Painter,Free (data) / Freemium,Published tables,https://dnapainter.com/tools/sharedcmv4,n/a,CC BY,,ref,P2,todo,,Deterministic table the AI can use to propose relationships from cM.
P06,DNA,Haplogroup trees,ISOGG Y-tree / YFull / PhyloTree,ISOGG / YFull,Free/Paid,Web,https://isogg.org/tree/,n/a,ToS,,ref,P3,todo,,
Q01,Reference,"Notable relatives (John Sevier, Rittenhouse, Dewees)",Wikipedia / Wikidata,Wikimedia,Free,REST/SPARQL,https://en.wikipedia.org/api/rest_v1/,Global,CC BY-SA,,T3,P2,todo,,"Seed contains Sevier, Rittenhouse, Dewees - probable Wikidata matches."
